Name,DOB,Cons,Cons Party,Cons Electoral District,I,I Party,I Electoral District,II,II Party,II Electoral District,III,III Party,III Electoral District,IV,IV Party,IV Electoral District,V,V Party,V Electoral District,VI,VI Party,VI Electoral District,VII,VII Party,VII Electoral District,VIII,VIII Party,VIII Electoral District,IX,IX Party,IX Electoral District,X,X Party,X Electoral District,XI,XI Party,XI Electoral District,XII,XII Party,XII Electoral District,XIII,XIII Party,XIII Electoral District,XIV,XIV Party,XIV Electoral District,XV,XV Party,XV Electoral District
Abílio Sousa E Silva,1943-04-02,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,VIANA DO CASTELO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Adão José Fonseca Silva,1957-10-01,0,,,0,,,0,,,0,,,0,,,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA,0,,,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA
Adérito Manuel Soares Campos,1957-08-27,0,,,0,,,1,PSD,AVEIRO,1,PSD,AVEIRO,1,PSD,AVEIRO,1,PSD,AVEIRO,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Adriano da Silva Pinto,1939-09-15,0,,,0,,,1,PSD,PORTO,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,0,,,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Alberto Cerqueira de Oliveira,1944-01-24,0,,,0,,,0,,,0,,,0,,,1,PSD,BRAGA,1,PSD,BRAGA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Alberto Monteiro de Araújo,1951-03-19,0,,,0,,,1,PSD,PORTO,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Álvaro Jose Martins Viegas,1963-08-13,0,,,0,,,0,,,0,,,0,,,1,PSD,FARO,1,PSD,FARO,0,,,0,,,1,PSD,FARO,0,,,0,,,0,,,0,,,0,,,0,,
Álvaro Roque de Pinho Bissaia Barreto,1936-01-01,0,,,0,,,1,PSD,VISEU,0,,,1,PSD,BEJA,1,PSD,BEJA,1,PSD,LISBOA,1,PSD,CASTELO BRANCO,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,
Ana Paula Matos Barros,1965-04-26,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,VISEU,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Antonio do Carmo Branco Malveiro,1948-04-17,0,,,0,,,0,,,0,,,1,PSD,BEJA,0,,,1,PSD,BEJA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Esteves Morgado,1945-10-18,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,GUARDA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Germano Fernandes de Sá E Abreu,1952-10-16,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,BRAGA,1,PSD,BRAGA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Joaquim Correia Vairinhos,1955-06-17,0,,,0,,,0,,,0,,,0,,,1,PSD,FARO,1,PSD,FARO,1,PSD,FARO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António José Barradas Leitão,1954-04-04,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,LEIRIA,1,PSD,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Antonio José Caeiro da Motta Veiga,1951-06-08,0,,,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Manuel Fernandes Alves,1932-06-12,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Maria Pereira,1924-02-12,0,,,1,PSD,LISBOA,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Antonio Moreira Barbosa de Melo,1932-11-02,1,PPD,COIMBRA,1,PPD,COIMBRA,0,,,0,,,0,,,0,,,1,PSD,COIMBRA,1,PSD,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Paulo Martins Pereira Coelho,1958-04-27,0,,,0,,,0,,,0,,,1,PSD,COIMBRA,1,PSD,COIMBRA,1,PSD,FORA DA EUROPA,1,PSD,EUROPA,1,PSD,COIMBRA,1,PSD,COIMBRA,1,PSD,COIMBRA,0,,,0,,,0,,,0,,,0,,
António Roleira Marinho,1942-12-13,1,Independente desde 1975-12-12  PPD até 1975-12-12,VIANA DO CASTELO,0,,,1,PSD,VIANA DO CASTELO,1,PSD,VIANA DO CASTELO,1,PSD,VIANA DO CASTELO,1,PSD,VIANA DO CASTELO,1,PSD,VIANA DO CASTELO,1,PSD,VIANA DO CASTELO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António da Silva Bacelar,1936-09-25,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Aristides Alves do Nascimento Teixeira,1945-06-01,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Arlindo da Silva Andre Moreira,1940-11-20,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Armando de Carvalho Guerreiro da Cunha,1921-10-28,0,,,0,,,0,,,0,,,0,,,1,PSD,ÉVORA,1,PSD,ÉVORA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
